MONTH,DAY_OF_WEEK,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_TIME_BLK,ARR_TIME_BLK,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,CRS_DEP_TIME,CRS_ARR_TIME,PREDICTED_DELAY
1,1,Newark,Asheville,1500-1559,1700-1759,UA,1286,1512,1715,1.326264186709221
1,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
1,2,Newark,Boston,1700-1759,1800-1859,B6,2580,1727,1840,3.7915587073403483
1,4,Denver,Hays,1900-1959,2200-2259,OO,5155,1955,2203,5.10440380031353
1,3,Phoenix,Memphis,1600-1659,2000-2059,YV,5877,1630,2018,0.24076526549848687
1,3,Austin,Dallas,2100-2159,2200-2259,WN,5784,2120,2215,4.514466382708155
1,6,Charlotte,Houston,0001-0559,0700-0759,WN,2888,530,725,13.006250086907054
1,4,Chicago,Aspen,1500-1559,1700-1759,OO,5865,1548,1749,1.330938343271959
1,1,Seattle,Santa Ana,1700-1759,2000-2059,AS,510,1750,2025,6.381949849993401
1,1,Chicago,San Jose,1900-1959,2200-2259,WN,736,1930,2220,12.821110130950455
2,1,Chicago,San Jose,1900-1959,2200-2259,WN,736,1930,2220,12.821110130950455
3,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
4,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
5,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
6,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
7,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
8,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
9,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
10,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
11,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
12,7,Milwaukee,Fort Myers,0700-0759,1100-1159,WN,4297,700,1105,1.7445308571119034
2,7,DL,Dallas,Detroit,0700-0759,-38.0,0.0,1,0.0
2,7,DL,Dallas,Detroit,1100-1159,58.0,82.0,2,1.0
2,7,DL,Dallas,Detroit,1500-1559,-53.0,0.0,2,0.0
2,7,DL,Dallas,Los Angeles,1500-1559,27.0,38.0,4,2.0
2,7,DL,Dallas,Minneapolis,0700-0759,-26.0,0.0,1,0.0
2,7,DL,Dallas,Minneapolis,0800-0859,-16.0,0.0,1,0.0
2,7,DL,Dallas,Minneapolis,1400-1459,-25.0,0.0,1,0.0
2,7,DL,Dallas,Minneapolis,1600-1659,-12.0,0.0,1,0.0
2,7,DL,Dallas,Salt Lake City,0600-0659,-17.0,0.0,3,0.0
2,7,DL,Dallas,Salt Lake City,0800-0859,-21.0,0.0,2,0.0
2,7,DL,Dallas,Salt Lake City,1400-1459,-32.0,0.0,2,0.0
2,7,DL,Dallas,Salt Lake City,1700-1759,-29.0,0.0,2,0.0
2,7,DL,Dallas,Salt Lake City,1800-1859,-12.0,0.0,1,0.0
2,7,DL,Denver,Atlanta,0001-0559,-17.0,0.0,1,0.0
2,7,DL,Denver,Atlanta,0600-0659,-15.0,21.0,4,2.0
